iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,summary,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,individual,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,propcomment,scite1
2013,1,17,Washington,Tacoma,47.252877,-122.444291,0,"01/17/2013: An explosive device detonated outside of the Tacoma Community Justice Center in Tacoma, Washington, United States. There were no damages or injuries resulting from the blast. No group claimed responsibility for the incident.",0,0,1,0,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Washington State Department of Corrections,Tacoma Community Justice Center,Unknown,0,-99,0,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0,0,0,,,,,"""Small   bomb explodes   outside WA Corrections office,"" The Associated Press State & Local Wire, January 18, 2013."
2013,2,7,California,Corona,33.875294,-117.566438,0,"02/07/2013: An assailant opened fire on two Riverside police officers in Corona, California, United States. One police officer died and the other officer was wounded in the asault. The perpetrator, Christopher Dorner, posted a lengthy statement online detailing his grievances, including both his personal frustrations regarding his dismissal from the Los Angeles Police Department (LAPD) as well as what he viewed as excessive use of force and racism in policing. This attack took place in the context of an extensive manhunt for Dorner, who carried out an initial attack on February 3 against targets he selected in retaliation for the decision to fire him. Following the manhunt, police located and surrounded Dorner in a remote cabin where he had died of a self-inflicted gunshot wound.",1,0,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Riverside Police,Officers,Anti-Police extremists,1,1,0,1,5,Firearms,4,Rifle/Shotgun (non-automatic),1,1,0,,,,,"""Key events in hunt for former Los Angeles police officer, suspected of killing 4,"" Associated Press Newswires, February 14, 2013."
2013,2,25,Washington,Seattle,47.5932,-122.300567,0,"02/25/2013: Assailants set fire to a construction site in Seattle, Washington, the United States. There were no casualties, but the fire caused $60,000 in damages. Anarchists claimed responsibility for the attack, stating that they started the fire to protest what they called the myth of sustainable development.",0,0,1,0,7,Facility/Infrastructure Attack,1,Business,12,Construction,Benjamin Custom Homes,Construction Site,Anarchists,0,-99,0,1,8,Incendiary,18,Arson/Fire,0,0,1,3,Minor (likely < $1 million),60000,A single family home and construction equipment were damaged in this attack.,"""Environmental anarchists claim responsibility for Seattle townhome fire,"" Q13 Fox, March 6, 2013."
2013,4,15,Massachusetts,Boston,42.350265,-71.080976,0,"04/15/2013: An explosive device consisting of a pressure cooker, nails, BBs, and a detonator fashioned from the remote control of a toy car detonated near the finish line of the Boston Marathon on Boylston Street in the Back Bay neighborhood of Boston, Massachusetts, United States. This was the first of two similar bombs that detonated approximately 12 seconds and 100 yards apart. The detonation of first device, which was located near Marathon Sports, killed spectator Krystle Campbell. Approximately 264 others were wounded in the two attacks. The alleged assailants of the blasts were later identified as Tamerlan and Dzhokhar Tsarnaev, brothers who immigrated to the United States from Russia in 2002 and 2003. On April 19, 2013, as part of an attempt to flee the Boston area, the assailants were involved in a shootout with police that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the attack, including one for the use of a weapon of mass destruction. Tsarnaev was ultimately found guilty on all counts, and sentenced to the death penalty on June 24, 2015.",0,1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Not Applicable,Boston Marathon,Muslim extremists,1,2,1,1,6,Explosives/Bombs/Dynamite,12,Remote Trigger,1,132,1,4,Unknown,-99,Nearby shops and buildings were damaged in this attack.,"""Boston Marathon Terror Attack Fast Facts,"" CNN Wire, July 11, 2013."
2013,4,15,Massachusetts,Boston,42.350265,-71.080976,0,"04/15/2013: An explosive device consisting of a pressure cooker, nails, BBs, and a detonator fashioned from the remote control of a toy car went off near the finish line of the Boston Marathon on Boylston Street in the Back Bay neighborhood of Boston, Massachusetts, United States. This was the second of two similar bombs that detonated approximately 12 seconds and 100 yards apart. The detonation of second device, which was located near Forum Restaurant, killed spectators Martin Richard and Lingzi Lu. Approximately 264 others were wounded in the two attacks. The alleged assailants of the blasts were later identified as Tamerlan and Dzhokhar Tsarnaev, brothers who immigrated to the United States from Russia in 2002 and 2003. On April 19, 2013, as part of an attempt to flee the Boston area, the assailants were involved in a shootout with police that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the attack, including one for the use of a weapon of mass destruction. Tsarnaev was ultimately found guilty on all counts, and sentenced to the death penalty on June 24, 2015.",0,1,1,0,3,Bombing/Explosion,14,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Not Applicable,Boston Marathon,Muslim extremists,1,2,1,1,6,Explosives/Bombs/Dynamite,12,Remote Trigger,2,132,1,4,Unknown,-99,Nearby shops and buildings were damaged in this attack.,"""Boston Marathon Terror Attack Fast Facts,"" CNN Wire, July 11, 2013."
2013,4,16,California,San Jose,37.339386,-121.894956,0,"04/16/2013: Assailants opened fire on the Metcalf transmission substation after severing telecommunication wires in San Jose, California, United States. As a result, 17 transformers that supplied power to Silicon Valley were damaged, causing them to leak 52,000 gallons of oil. No group claimed responsibility for the attack.",1,0,1,0,7,Facility/Infrastructure Attack,21,Utilities,107,Electricity,Pacific Gas & Electric Company (PG&E),Metcalf Transmission Substation,Unknown,0,-99,0,0,5,Firearms,4,Rifle/Shotgun (non-automatic),0,0,1,4,Unknown,-99,Fiber-optic cables and 17 electrical transformers were damaged in this attack.,"""Sniper Attack: Mystery Assault On Power Grid,"" The Wall Street Journal, February 5, 2014."
2013,4,17,Texas,West,31.816677,-97.087902,0,"04/17/2013: Assailants set fire to the West Fertilizer Company plant in West, Texas, United States. The subsequent explosion killed 15 people and injured at least an additional 151. No group claimed responsibility for the attack. On May 11, 2016 investigators announced that the fire was set intentionally; however, no suspects were announced.",1,0,1,0,7,Facility/Infrastructure Attack,1,Business,5,Industrial/Textiles/Factory,West Fertilizer Company,Fertilizer Plant,Unknown,0,-99,0,0,8,Incendiary,18,Arson/Fire,15,151,1,4,Unknown,-99,"A fertilizer plant, 193 houses, three schools, an apartment complex, and a nursing home were damaged in this attack.","""Fire That Left 15 Dead at Texas Fertilizer Plant Is Ruled Intentional,"" The New York Times, May 11, 2016."
2013,4,18,Massachusetts,Cambridge,42.359606,-71.093134,0,"04/18/2013: A Massachusetts Institute of Technology (MIT) police officer, Sean Collier, was shot and killed by gunmen on the MIT campus in Cambridge, Massachusetts, United States. The suspected assailants of the attack were later identified as Tamerlan and Dzhokhar Tsarnaev, who are believed to also be responsible for the double bomb attack near the finish line of the Boston Marathon that took place on April 15, 2013. Shortly after the killing of Collier, the suspects were involved in a shootout with police as they attempted to flee the Boston area. Tamerlan Tsarnaev was killed in the firefight. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the killing of Collier and the marathon attacks.",0,0,1,0,2,Armed Assault,8,Educational Institution,50,Other Personnel,Massachusetts Institute of Technology (MIT),Security Officer: Sean Collier,Muslim extremists,1,2,1,1,5,Firearms,5,Unknown Gun Type,1,0,0,,,,,"""Boston Marathon Terror Attack Fast Facts,"" CNN Wire, July 11, 2013."
2013,4,18,Nebraska,McCook,40.207537,-100.597003,0,"04/18/2013: An explosive device was discovered at the airport in McCook, Nebraska, United States. The device was safely defused without incident. No group claimed responsibility for the unsuccessful attack.",0,0,0,0,3,Bombing/Explosion,6,Airports & Aircraft,44,Airport,McCook Airport,Airport,Unknown,0,-99,0,0,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,0,0,0,,,,,"""SMALL BOMB ?NEUTRALIZED? AT McCOOK AIRPORT,"" Panhandle Post, April 19, 2013."
2013,4,19,Massachusetts,Watertown,42.370888,-71.182911,0,"04/19/2013: Police thwarted a potential bomb attack when they engaged in a firefight with the alleged assailants of the Boston Marathon bombings, Tamerlan and Dzhokhar Tsarnaev, in Watertown, Massachusetts, United States. Shortly after hijacking a civilian vehicle, the suspects were confronted by police, leading to a firefight that resulted in the death of Tamerlan Tsarnaev. Dzhokhar Tsarnaev and 16 police officers were injured in the exchange. One of the injured officers,  Dennis Simmonds, succumbed to his injuries on April 10, 2014. During the encounter, the suspects hurled explosives at the officers. It was later revealed that the Tsarnaev brothers were plotting to use the explosives to carry out an attack in an unconfirmed location. Dzhokhar Tsarnaev was arrested later that evening after he was discovered hiding in a boat that was parked in a Watertown, Massachusetts, resident's backyard. Tsarnaev had written a claim of responsibility on the side of the boat. On July 10, 2013, Dzhokhar Tsarnaev pleaded not guilty to 30 federal counts related to the Boston attacks, including one for the use of a weapon of mass destruction.",0,0,1,0,4,Hijacking,20,Unknown,,,Unknown,Unknown,Muslim extremists,1,2,1,1,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,2,16,1,3,Minor (likely < $1 million),-99,An unknown number of vehicles were damaged in this attack.,"""Timeline: The Boston Marathon bombing, manhunt and investigation,"" CNN Wire, May 2, 2013."
