State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
AL,Alabama,18.5,26.5,"44,833"
AL,Autauga County,12.7,18.8,"56,580"
AL,Baldwin County,12.9,19.6,"52,387"
AL,Barbour County,32.0,45.2,"31,433"
AL,Bibb County,22.2,29.3,"40,767"
AL,Blount County,14.7,22.2,"50,487"
AL,Bullock County,39.6,51.2,"28,251"
AL,Butler County,25.8,36.0,"33,868"
AL,Calhoun County,20.0,30.7,"42,091"
AL,Chambers County,22.4,34.4,"35,560"
AL,Cherokee County,19.4,30.2,"39,144"
AL,Chilton County,20.2,28.1,"42,767"
AL,Choctaw County,24.4,33.5,"35,089"
AL,Clarke County,22.2,30.9,"37,317"
AL,Clay County,18.4,27.3,"38,908"
AL,Cleburne County,18.9,27.7,"42,136"
AL,Coffee County,16.2,23.7,"46,858"
AL,Colbert County,18.1,26.9,"41,171"
AL,Conecuh County,28.3,41.0,"29,981"
AL,Coosa County,20.3,32.2,"36,078"
AL,Covington County,22.3,34.1,"36,355"
AL,Crenshaw County,19.9,29.6,"36,759"
AL,Cullman County,19.4,24.7,"39,290"
AL,Dale County,18.5,29.0,"45,294"
AL,Dallas County,34.6,50.1,"29,682"
AL,DeKalb County,20.6,28.9,"37,305"
AL,Elmore County,14.0,19.9,"53,548"
AL,Escambia County,24.4,32.0,"36,840"
AL,Etowah County,19.0,30.7,"42,145"
AL,Fayette County,20.4,29.4,"37,085"
AL,Franklin County,21.1,32.4,"38,535"
AL,Geneva County,22.4,34.8,"36,289"
AL,Greene County,37.7,54.7,"25,398"
AL,Hale County,28.5,38.6,"35,470"
AL,Henry County,17.0,27.5,"42,501"
AL,Houston County,18.3,29.5,"43,568"
AL,Jackson County,18.4,26.9,"40,201"
AL,Jefferson County,18.0,26.2,"48,415"
AL,Lamar County,24.7,33.8,"36,520"
AL,Lauderdale County,17.3,23.9,"43,008"
AL,Lawrence County,18.7,26.4,"41,771"
AL,Lee County,21.0,20.7,"46,442"
AL,Limestone County,14.3,18.8,"55,060"
AL,Lowndes County,35.2,46.7,"31,117"
AL,Macon County,32.2,46.1,"29,522"
AL,Madison County,13.3,19.1,"59,117"
AL,Marengo County,23.3,34.8,"35,389"
AL,Marion County,19.8,30.4,"34,977"
AL,Marshall County,20.1,32.7,"40,599"
AL,Mobile County,18.4,26.9,"42,530"
AL,Monroe County,28.6,35.7,"35,163"
AL,Montgomery County,22.8,33.8,"42,666"
AL,Morgan County,16.4,24.0,"47,234"
AL,Perry County,40.0,54.4,"26,218"
AL,Pickens County,24.3,35.3,"33,160"
AL,Pike County,25.9,36.0,"34,442"
AL,Randolph County,18.7,31.7,"37,333"
AL,Russell County,23.0,36.3,"36,124"
AL,St. Clair County,12.4,17.5,"53,558"
AL,Shelby County,8.5,10.2,"70,879"
AL,Sumter County,33.2,44.2,"25,931"
AL,Talladega County,22.4,31.1,"37,911"
AL,Tallapoosa County,21.7,34.5,"39,051"
AL,Tuscaloosa County,20.0,25.1,"47,868"
AL,Walker County,20.6,31.1,"37,305"
AL,Washington County,22.4,31.5,"42,658"
AL,Wilcox County,33.2,49.2,"23,014"
AL,Winston County,18.9,29.3,"36,497"
AK,Alaska,10.4,14.5,"73,391"
AK,Aleutians East Borough,17.4,15.5,"57,015"
AK,Aleutians West Census Area,8.5,8.5,"80,695"
AK,Anchorage Borough,8.7,12.4,"77,791"
AK,Bethel Census Area,24.2,31.5,"44,849"
AK,Bristol Bay Borough,9.0,8.6,"66,373"
AK,Denali Borough,6.6,10.2,"73,000"
AK,Dillingham Census Area,20.0,30.4,"50,753"
AK,Fairbanks North Star Borough,8.1,10.1,"70,881"
AK,Haines Borough,10.9,20.2,"57,876"
AK,Hoonah-Angoon Census Area,16.2,29.2,"53,726"
AK,Juneau Borough,8.0,10.1,"82,892"
AK,Kenai Peninsula Borough,11.4,14.0,"62,025"
AK,Ketchikan Gateway Borough,10.3,14.4,"65,314"
AK,Kodiak Island Borough,7.5,9.3,"67,515"
AK,Kusilvak Census Area,31.8,43.4,"33,511"
AK,Lake and Peninsula Borough,19.3,31.4,"42,120"
AK,Matanuska-Susitna Borough,9.8,11.8,"76,601"
AK,Nome Census Area,21.4,27.6,"52,952"
AK,North Slope Borough,12.6,17.6,"70,834"
AK,Northwest Arctic Borough,26.3,34.9,"53,774"
AK,Petersburg Borough,7.9,10.3,"63,098"
AK,Prince of Wales-Hyder Census Area,15.6,23.8,"45,305"
AK,Sitka Borough,9.2,10.4,"68,472"
AK,Skagway Municipality,3.7,6.3,"65,878"
AK,Southeast Fairbanks Census Area,13.5,21.4,"60,203"
AK,Valdez-Cordova Census Area,9.5,12.2,"70,101"
AK,Wrangell City and Borough,12.0,16.0,"54,500"
AK,Yakutat Borough,15.4,26.1,"53,795"
AK,Yukon-Koyukuk Census Area,23.4,34.4,"37,755"
AZ,Arizona,17.4,24.7,"51,473"
AZ,Apache County,38.0,44.7,"31,072"
AZ,Cochise County,16.9,25.7,"43,451"
AZ,Coconino County,19.5,20.7,"51,955"
AZ,Gila County,21.3,36.6,"41,346"
AZ,Graham County,22.9,26.9,"44,169"
AZ,Greenlee County,10.1,11.3,"58,854"
AZ,La Paz County,22.2,36.9,"34,835"
AZ,Maricopa County,16.3,23.0,"56,017"
AZ,Mohave County,17.4,29.8,"40,360"
AZ,Navajo County,28.1,36.7,"37,658"
AZ,Pima County,18.7,27.7,"47,107"
AZ,Pinal County,15.8,21.6,"50,888"
AZ,Santa Cruz County,24.4,36.7,"34,893"
AZ,Yavapai County,15.1,23.4,"47,220"
AZ,Yuma County,21.1,30.8,"40,426"
AR,Arkansas,18.7,26.4,"42,046"
AR,Arkansas County,20.7,30.5,"41,179"
AR,Ashley County,19.6,31.2,"39,871"
AR,Baxter County,16.4,28.5,"36,902"
AR,Benton County,10.8,15.3,"60,294"
AR,Boone County,16.5,25.1,"40,909"
AR,Bradley County,28.0,40.2,"37,331"
AR,Calhoun County,16.7,23.1,"40,526"
AR,Carroll County,16.6,27.7,"37,587"
AR,Chicot County,31.4,43.2,"29,968"
AR,Clark County,22.5,28.2,"37,856"
AR,Clay County,20.8,27.9,"35,324"
